# Run number  1 on Tue 2026-06-02T09:06:21 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 3.1208E-01    2.4301E+01    2.4361E+01    2.4299E+01    2.4046E+01    2.3188E+01    2.4085E+01    2.4004E+01    2.3904E+01    6.5557E+00    6.6397E+00   -7.1983E-01    9.9092E+00   
 8.6055E-01    2.4301E+01    2.4386E+01    2.4299E+01    2.4058E+01    2.3188E+01    2.4081E+01    2.4024E+01    2.3906E+01    6.5557E+00    6.6193E+00   -7.1983E-01    1.0016E+01   
 1.3748E+00    2.4296E+01    2.4362E+01    2.4291E+01    2.4062E+01    2.3173E+01    2.4059E+01    2.4008E+01    2.3889E+01    6.5557E+00    6.6193E+00   -7.1983E-01    1.0121E+01   
 1.8750E+00    2.4291E+01    2.4389E+01    2.4279E+01    2.4064E+01    2.3179E+01    2.4070E+01    2.4009E+01    2.3883E+01    6.5557E+00    6.6397E+00   -7.1983E-01    1.0016E+01   
 2.3753E+00    2.4315E+01    2.4405E+01    2.4274E+01    2.4080E+01    2.3161E+01    2.4054E+01    2.3990E+01    2.3867E+01    6.5557E+00    6.6193E+00   -7.1983E-01    1.0225E+01   
 2.8755E+00    2.4321E+01    2.4388E+01    2.4285E+01    2.4079E+01    2.3163E+01    2.4064E+01    2.3981E+01    2.3871E+01    6.5557E+00    6.6193E+00   -7.1983E-01    1.0225E+01   
 3.3759E+00    2.4337E+01    2.4391E+01    2.4300E+01    2.4097E+01    2.3163E+01    2.4038E+01    2.3989E+01    2.3883E+01    6.5557E+00    6.6193E+00   -7.1983E-01    1.0016E+01   
 3.8761E+00    2.4328E+01    2.4402E+01    2.4294E+01    2.4088E+01    2.3176E+01    2.4041E+01    2.3989E+01    2.3876E+01    6.5557E+00    6.6193E+00   -7.1983E-01    1.0225E+01   
 4.3763E+00    2.4337E+01    2.4396E+01    2.4296E+01    2.4103E+01    2.3145E+01    2.4034E+01    2.3974E+01    2.3865E+01    6.5557E+00    6.6193E+00   -7.1983E-01    1.0225E+01   
 4.8766E+00    2.4328E+01    2.4396E+01    2.4299E+01    2.4103E+01    2.3156E+01    2.4034E+01    2.3986E+01    2.3865E+01    6.5557E+00    6.6193E+00   -7.1983E-01    1.0225E+01   
 5.3769E+00    2.4335E+01    2.4409E+01    2.4317E+01    2.4110E+01    2.3146E+01    2.4053E+01    2.3972E+01    2.3856E+01    6.5557E+00    6.6193E+00   -7.1983E-01    1.0121E+01   
