# Run number  2 on Fri 2026-05-15T12:05:43 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 3.1915E-01    4.4266E+01    5.3417E+01    2.0502E+01    1.7491E+01    1.2120E+01    6.7701E+01    4.9365E+01    1.4179E+01    4.4949E+00    1.5965E+01    6.3935E+00    8.4395E+00   
 9.3647E-01    4.4263E+01    5.3406E+01    2.0541E+01    1.7434E+01    1.2101E+01    6.7698E+01    4.9363E+01    1.4177E+01    4.4745E+00    1.5822E+01    6.4597E+00    8.4893E+00   
 1.4368E+00    4.4241E+01    5.3396E+01    2.0479E+01    1.7513E+01    1.2128E+01    6.7702E+01    4.9351E+01    1.4172E+01    4.4949E+00    1.5924E+01    6.3935E+00    8.4893E+00   
 1.9371E+00    4.4247E+01    5.3410E+01    2.0479E+01    1.7389E+01    1.2128E+01    6.7676E+01    4.9362E+01    1.4153E+01    4.4949E+00    1.5965E+01    6.3426E+00    8.4645E+00   
 2.4376E+00    4.4245E+01    5.3410E+01    2.0595E+01    1.7369E+01    1.2154E+01    6.7676E+01    4.9365E+01    1.4153E+01    4.4949E+00    1.5781E+01    6.3120E+00    8.4395E+00   
 2.9381E+00    4.4228E+01    5.3405E+01    2.0562E+01    1.7369E+01    1.2191E+01    6.7676E+01    4.9345E+01    1.4150E+01    4.4949E+00    1.5965E+01    6.3375E+00    8.4645E+00   
 3.4387E+00    4.4228E+01    5.3391E+01    2.0582E+01    1.7373E+01    1.2242E+01    6.7666E+01    4.9345E+01    1.4163E+01    4.4949E+00    1.5781E+01    6.2611E+00    8.4645E+00   
 3.9391E+00    4.4233E+01    5.3387E+01    2.0511E+01    1.7490E+01    1.2242E+01    6.7671E+01    4.9350E+01    1.4124E+01    4.4949E+00    1.5965E+01    6.3986E+00    8.4645E+00   
 4.4394E+00    4.4220E+01    5.3390E+01    2.0511E+01    1.7443E+01    1.2259E+01    6.7672E+01    4.9370E+01    1.4153E+01    4.4949E+00    1.5965E+01    6.4088E+00    8.4893E+00   
 4.9398E+00    4.4210E+01    5.3390E+01    2.0475E+01    1.7339E+01    1.2312E+01    6.7690E+01    4.9368E+01    1.4153E+01    4.4949E+00    1.5802E+01    6.3731E+00    8.4395E+00   
 5.4401E+00    4.4222E+01    5.3391E+01    2.0392E+01    1.7339E+01    1.2272E+01    6.7690E+01    4.9360E+01    1.4135E+01    4.4949E+00    1.5781E+01    6.4648E+00    8.4645E+00   
 5.9404E+00    4.4222E+01    5.3385E+01    2.0384E+01    1.7393E+01    1.2241E+01    6.7693E+01    4.9360E+01    1.4145E+01    4.4949E+00    1.5965E+01    6.2662E+00    8.4645E+00   
 6.4407E+00    4.4204E+01    5.3379E+01    2.0482E+01    1.7442E+01    1.2241E+01    6.7690E+01    4.9354E+01    1.4145E+01    4.4745E+00    1.5924E+01    6.3731E+00    8.4645E+00   
 6.9409E+00    4.4199E+01    5.3379E+01    2.0482E+01    1.7291E+01    1.2230E+01    6.7702E+01    4.9367E+01    1.4145E+01    4.4949E+00    1.5944E+01    6.2713E+00    8.5141E+00   
 7.4412E+00    4.4223E+01    5.3393E+01    2.0527E+01    1.7361E+01    1.2215E+01    6.7710E+01    4.9355E+01    1.4130E+01    4.4745E+00    1.5781E+01    6.3680E+00    8.4395E+00   
 7.9415E+00    4.4237E+01    5.3397E+01    2.0446E+01    1.7361E+01    1.2200E+01    6.7710E+01    4.9350E+01    1.4139E+01    4.4949E+00    1.5822E+01    6.3375E+00    8.4645E+00   
 8.4417E+00    4.4237E+01    5.3399E+01    2.0479E+01    1.7367E+01    1.2210E+01    6.7710E+01    4.9350E+01    1.4135E+01    4.4949E+00    1.5842E+01    6.3222E+00    8.4893E+00   
 8.9796E+00    4.4225E+01    5.3393E+01    2.0521E+01    1.7436E+01    1.2225E+01    6.7723E+01    4.9363E+01    1.4149E+01    4.4949E+00    1.5944E+01    6.3375E+00    8.4645E+00   
 9.4950E+00    4.4221E+01    5.3398E+01    2.0521E+01    1.7396E+01    1.2225E+01    6.7719E+01    4.9331E+01    1.4159E+01    4.4745E+00    1.5965E+01    6.4597E+00    8.4395E+00   
 9.9979E+00    4.4206E+01    5.3398E+01    2.0504E+01    1.7387E+01    1.2232E+01    6.7722E+01    4.9352E+01    1.4159E+01    4.4949E+00    1.5781E+01    6.2866E+00    8.4645E+00   
