# Run number  1 on Tue 2026-05-19T09:05:40 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.8939E-01    2.0614E+01    2.0680E+01    2.0219E+01    1.9206E+01    1.9731E+01    2.0245E+01    2.0052E+01    2.0051E+01    5.8824E+00    5.9067E+00    4.0170E-02    3.0521E-01   
 9.7817E-01    2.0596E+01    2.0662E+01    2.0259E+01    1.9192E+01    1.9685E+01    2.0222E+01    2.0000E+01    2.0025E+01    5.8824E+00    5.9271E+00    4.0170E-02    3.0521E-01   
 1.4784E+00    2.0603E+01    2.0665E+01    2.0257E+01    1.9240E+01    1.9698E+01    2.0221E+01    2.0006E+01    2.0005E+01    5.8824E+00    5.9271E+00    4.0170E-02    3.0521E-01   
 1.9787E+00    2.0594E+01    2.0665E+01    2.0257E+01    1.9240E+01    1.9684E+01    2.0206E+01    2.0019E+01    2.0005E+01    5.8824E+00    5.9067E+00    6.7652E-01    5.7313E-01   
 2.5426E+00    2.0596E+01    2.0664E+01    2.0047E+01    1.9228E+01    1.9690E+01    2.0179E+01    1.9995E+01    2.0000E+01    5.8824E+00    5.9067E+00    2.9521E+00    8.6609E-01   
 3.0429E+00    2.0591E+01    2.0648E+01    1.9854E+01    1.9245E+01    1.9681E+01    2.0209E+01    2.0023E+01    1.9983E+01    5.8824E+00    5.9067E+00    3.0743E+00    8.6609E-01   
 3.5432E+00    2.0591E+01    2.0660E+01    1.9854E+01    1.9271E+01    1.9697E+01    2.0220E+01    2.0039E+01    2.0000E+01    5.8824E+00    5.9271E+00    3.0692E+00    5.7313E-01   
 4.0436E+00    2.0573E+01    2.0638E+01    1.9816E+01    1.9307E+01    1.9704E+01    2.0230E+01    2.0021E+01    2.0017E+01    5.8824E+00    5.9067E+00    3.0743E+00    5.7313E-01   
 4.6234E+00    2.0606E+01    2.0645E+01    1.9742E+01    1.9286E+01    1.9701E+01    2.0214E+01    2.0033E+01    2.0022E+01    5.8824E+00    5.9067E+00    1.1805E+00    5.7313E-01   
 5.1238E+00    2.0598E+01    2.0645E+01    1.9711E+01    1.9286E+01    1.9714E+01    2.0214E+01    2.0022E+01    2.0022E+01    5.8824E+00    5.9067E+00    1.5726E-01    5.7313E-01   
 5.6243E+00    2.0608E+01    2.0665E+01    1.9477E+01    1.9247E+01    1.9719E+01    2.0236E+01    2.0023E+01    2.0023E+01    5.8824E+00    5.9067E+00    5.0351E-02    3.0521E-01   
 6.1246E+00    2.0608E+01    2.0664E+01    1.9477E+01    1.9264E+01    1.9719E+01    2.0230E+01    2.0038E+01    2.0034E+01    5.8824E+00    5.9067E+00    4.0170E-02    5.7313E-01   
 6.7276E+00    2.0602E+01    2.0661E+01    1.9293E+01    1.9250E+01    1.9736E+01    2.0249E+01    2.0053E+01    2.0028E+01    5.8824E+00    5.9067E+00    4.0170E-02    3.0521E-01   
 7.2278E+00    2.0612E+01    2.0678E+01    1.9341E+01    1.9233E+01    1.9740E+01    2.0250E+01    2.0052E+01    2.0045E+01    5.8824E+00    5.9067E+00    4.0170E-02    3.0521E-01   
 7.7282E+00    2.0605E+01    2.0678E+01    1.9368E+01    1.9210E+01    1.9716E+01    2.0232E+01    2.0020E+01    2.0017E+01    5.8824E+00    5.9067E+00    4.0170E-02    5.7313E-01   
 8.2285E+00    2.0608E+01    2.0666E+01    1.9494E+01    1.9210E+01    1.9718E+01    2.0232E+01    2.0042E+01    2.0017E+01    5.8824E+00    5.9067E+00    4.0170E-02    5.7313E-01   
 8.7995E+00    2.0603E+01    2.0668E+01    1.9569E+01    1.9193E+01    1.9722E+01    2.0226E+01    2.0048E+01    2.0051E+01    5.8824E+00    5.9067E+00    4.0170E-02    5.7313E-01   
 9.2998E+00    2.0603E+01    2.0668E+01    1.9717E+01    1.9215E+01    1.9740E+01    2.0211E+01    2.0043E+01    2.0058E+01    5.8824E+00    5.9067E+00    4.0170E-02    5.7313E-01   
 9.8001E+00    2.0601E+01    2.0657E+01    1.9702E+01    1.9206E+01    1.9756E+01    2.0247E+01    2.0059E+01    2.0076E+01    5.8824E+00    5.9067E+00    4.0170E-02    5.9943E+00   
 1.0300E+01    2.0603E+01    2.0653E+01    1.9727E+01    1.9224E+01    1.9744E+01    2.0253E+01    2.0062E+01    2.0066E+01    5.8824E+00    5.9067E+00    4.0170E-02    6.0643E+00   
 1.0920E+01    2.0599E+01    2.0662E+01    1.9785E+01    1.9226E+01    1.9753E+01    2.0250E+01    2.0063E+01    2.0079E+01    5.8824E+00    5.9067E+00    4.0170E-02    5.7060E+00   
 1.1420E+01    2.0593E+01    2.0662E+01    1.9830E+01    1.9226E+01    1.9752E+01    2.0250E+01    2.0074E+01    2.0079E+01    5.8824E+00    5.9067E+00    4.0170E-02    4.0665E+00   
 1.1920E+01    2.0594E+01    2.0667E+01    1.9823E+01    1.9259E+01    1.9741E+01    2.0234E+01    2.0076E+01    2.0088E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.9912E+00   
 1.2421E+01    2.0594E+01    2.0654E+01    1.9823E+01    1.9290E+01    1.9741E+01    2.0249E+01    2.0086E+01    2.0074E+01    5.8824E+00    5.9067E+00    4.0170E-02    3.1290E+00   
 1.3000E+01    2.0604E+01    2.0659E+01    1.9906E+01    1.9277E+01    1.9742E+01    2.0240E+01    2.0086E+01    2.0066E+01    5.8824E+00    5.9067E+00    4.0170E-02    3.0609E+00   
 1.3501E+01    2.0589E+01    2.0645E+01    1.9866E+01    1.9258E+01    1.9740E+01    2.0254E+01    2.0067E+01    2.0055E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.6946E+00   
 1.4001E+01    2.0590E+01    2.0661E+01    1.9739E+01    1.9265E+01    1.9736E+01    2.0246E+01    2.0065E+01    2.0068E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.8468E+00   
 1.4501E+01    2.0604E+01    2.0672E+01    1.9645E+01    1.9265E+01    1.9756E+01    2.0246E+01    2.0079E+01    2.0068E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.5333E+00   
 1.5088E+01    2.0606E+01    2.0680E+01    1.9551E+01    1.9183E+01    1.9748E+01    2.0238E+01    2.0087E+01    2.0065E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.6152E+00   
 1.5589E+01    2.0606E+01    2.0687E+01    1.9505E+01    1.9154E+01    1.9747E+01    2.0238E+01    2.0073E+01    2.0060E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.7717E+00   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 1.6089E+01    2.0615E+01    2.0683E+01    1.9505E+01    1.9158E+01    1.9747E+01    2.0246E+01    2.0073E+01    2.0075E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.7717E+00   
 1.6589E+01    2.0612E+01    2.0687E+01    1.9457E+01    1.9209E+01    1.9750E+01    2.0253E+01    2.0071E+01    2.0061E+01    5.8824E+00    5.9067E+00    4.0170E-02    3.0609E+00   
 1.7161E+01    2.0612E+01    2.0687E+01    1.9420E+01    1.9209E+01    1.9736E+01    2.0225E+01    2.0064E+01    2.0058E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.9199E+00   
 1.7661E+01    2.0620E+01    2.0677E+01    1.9402E+01    1.9209E+01    1.9730E+01    2.0225E+01    2.0062E+01    2.0058E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.6946E+00   
 1.8161E+01    2.0610E+01    2.0676E+01    1.9420E+01    1.9185E+01    1.9730E+01    2.0229E+01    2.0067E+01    2.0056E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.6152E+00   
 1.8662E+01    2.0626E+01    2.0713E+01    1.9435E+01    1.9178E+01    1.9714E+01    2.0215E+01    2.0052E+01    2.0039E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.6946E+00   
 1.9249E+01    2.0628E+01    2.0681E+01    1.9420E+01    1.9132E+01    1.9714E+01    2.0205E+01    2.0029E+01    2.0025E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.6946E+00   
 1.9749E+01    2.0611E+01    2.0708E+01    1.9454E+01    1.9157E+01    1.9721E+01    2.0219E+01    2.0046E+01    2.0032E+01    5.8824E+00    5.9067E+00    4.0170E-02    2.6946E+00   
