File,valve state(%),fan state(%),Time stamp,note,Time (s),T1w (C),T2w (C),T1a (C),T2a (C),T1r (C),T2r (C),T3r (C),T4r (C),P1 (bar),P2 (bar),Ic (amp),Qc (l/min)
HP_26May2026_03,100,100,11:20,times flowrate by 60,6.8015E+02,4.6626E+01,5.4452E+01,2.4689E+01,2.0807E+01,1.5819E+01,6.7742E+01,5.1580E+01,1.8353E+01,4.9846E+00,1.6392E+01,5.8117E+00,1.0016E+01
HP_26May2026_03,100,75,21:00,times flowrate by 60,1.2598E+03,5.0564E+01,5.8550E+01,2.5150E+01,2.1627E+01,1.6657E+01,7.3173E+01,5.4832E+01,1.8715E+01,5.1274E+00,1.8265E+01,6.4022E+00,1.0121E+01
HP_26May2026_03,100,50,31:10,times flowrate by 60,1.8701E+03,5.5385E+01,6.2978E+01,2.5704E+01,2.1528E+01,1.6958E+01,7.8948E+01,5.8437E+01,1.8874E+01,5.1274E+00,1.9955E+01,6.9571E+00,1.0016E+01
HP_26May2026_04,100,25,1:10,,6.9849E+01,6.0893E+01,6.8230E+01,2.5792E+01,2.2426E+01,1.7517E+01,8.4739E+01,6.3196E+01,2.0213E+01,5.2906E+00,2.2480E+01,7.3593E+00,1.0225E+01
HP_26May2026_05,50,75,22:45,,1.3652E+03,5.1358E+01,6.3395E+01,2.5527E+01,2.2013E+01,1.8531E+01,7.5842E+01,5.9188E+01,1.9835E+01,5.2294E+00,2.0098E+01,6.7178E+00,6.2269E+00
HP_26May2026_05,50,50,28:00,,1.6802E+03,5.2990E+01,6.5031E+01,2.5637E+01,2.2027E+01,1.8779E+01,7.8851E+01,6.0223E+01,1.9696E+01,5.2294E+00,2.0607E+01,7.1862E+00,6.9861E+00
HP_26May2026_05,50,25,33:00,,1.9799E+03,5.5982E+01,6.7625E+01,2.5534E+01,2.2493E+01,1.7533E+01,8.2441E+01,6.2545E+01,2.0099E+01,5.2906E+00,2.2011E+01,7.2524E+00,6.8084E+00
HP_26May2026_05,50,100,36:30,(2nd attempt),2.1897E+03,5.6311E+01,6.4141E+01,2.5680E+01,2.2524E+01,1.7367E+01,8.0047E+01,6.0606E+01,1.9789E+01,5.2498E+00,2.0423E+01,7.0538E+00,1.0016E+01
HP_26May2026_05,75,100,39:45,,2.3847E+03,5.5724E+01,6.5249E+01,2.5864E+01,2.2199E+01,1.7502E+01,8.1261E+01,6.1049E+01,1.9818E+01,5.2702E+00,2.1075E+01,6.9978E+00,8.0791E+00
HP_26May2026_05,75,75,42:15,,2.5352E+03,5.5623E+01,6.5133E+01,2.5690E+01,2.2162E+01,1.7613E+01,8.1489E+01,6.0907E+01,1.9910E+01,5.2702E+00,2.1054E+01,7.1913E+00,8.6193E+00
HP_26May2026_05,75,50,47:00,,2.8201E+03,5.6472E+01,6.5860E+01,2.6092E+01,2.2364E+01,1.7867E+01,8.2418E+01,6.1533E+01,2.0214E+01,5.2906E+00,2.1319E+01,7.0742E+00,8.3552E+00
HP_26May2026_06,75,25,5:30,,3.2974E+02,6.0678E+01,6.9701E+01,2.6172E+01,2.2992E+01,1.8061E+01,8.6164E+01,6.4633E+01,2.0592E+01,5.3723E+00,2.3457E+01,7.6189E+00,8.2188E+00
